,description,note
719,Le service que mensonges,2
720,La chambre parfaite et surtout proche de la gare,10
721,A éviter vraiment    Aucun respect de la réception de lhôtel Le réceptionniste na aucun sens daccueil ni de responsabilité Dans la chambre et les couloirs ça senti très mauvais Bref nous avons passer une nuit horrible surtout pour un passage rapide sur Paris   ,2
722,Chambres vétuste pas très propre  pas insonorisée on entend tout  pas de poubelle dans la salle de bain  peu d’éclairage bref à éviter ,2
723,Pas d’eau chaude le matin,4
724,Mauvais rapport qualité prix Chambre dans un état horrible La moquette est souillée Nous n’avons pas osé marcher pied nus Le robinet m’est resté dans les mains  Le radiateur a fait un bruit d’avion toute la nuit Bref nous voyons régulièrement à Paris et cet hôtel est un flop Le point positif est l’emplacement ,4
725,Très bien Pratique à coté du lieu où je devais me rendre  Grand Rex ,10
726,Chambre exiguë mais propre Salle de bains minuscule mais propre Personnel très sympathique Petit déjeuner très simple mais bon et très bon marché cela convient pour une nuit mais le tarif est un peu trop élevé,6
727,Acccueil sympathique décoré avec gout Confortable petitdéjeuner excellent et personnel aux petits soins trés bon séjour Je recommande ,10
728,je vais régulièrement dans cet hôtel en couple ou pour le travail et je nai rien à redire cette fois jai été surclassée et cétait très agréable car les chambres supérieures sont vraiment plus grandes et très bien équipées Le secteur est calme et les chambres bien isolées De nombreux restaurants aux alentours viennent parfaire le séjour    Le métro ligne  est tout près et les grands magasins à  minutes à pieds,10
729,Très bel hôtel bien situé Propreté impeccable service à l’accueil de grande qualité ,10
730,Exellent acceuil check In et check Out Hotel joli propre bien situé,10
731,excellent petit déjeuner  personnel sympathique mais qui change beaucoup  décor pastel très agréable ,10
732,Hôtel très bien situé en plein cœur du eme Notre chambre était très confortable propre et agréable à vivre  Je recommande ,10
733,Hôtel très joliement décoré mention spéciale pour la salle du petit déjeuner personnel très aimable très bonne literie très calme,10
734,Réunion d’affaires à Paris  bien dormir pour bien négocier…,10
735,Un très bel hôtel mais le service nest pas à la hauteur nous avions demandé un grand lit et on nous a donne une chambre avec des lits twins fait en un seul mais qui s’écartaient  lun de lautre Nous avons demandé a en changer et la consigne na pas été suivi voire même mal été interprétée et la deuxième nuit a été pire que le première car au lieu de  lits twins faits en un seul on a eu  lits twins indépendants  ,4
736,Bonjour l’hotel etait idéalement placé pour me permettre de participer à quelques réunions très contraignantes Je l’avais à l’origine choisi suivant ce critère La qualité de l’accueil et le cadre m’ont apporté une sérénité et un état d’esprit fortement appréciés lors des réunions qui ont suivi  Merci donc à vous toutes et tous  ,10
737,Très bon séjour grâce à un accueil très chaleureux  Chambre toute refaite agréable  Très bonne literie  Une seule chose nous a manqué   une poignée pour rentrer et sortir de la baignoire Indispensable pour mon mari âgé ,10
738,Future rénovation nécessaire ,10
739,Great location and very friendly staff Wifi good Enjoyable breakfast Phone connection weak in some rooms,8
740,Charmant petit hôtel à la déco très jolie Chambre tout mignonne Deux petit défaut   le chauffage manque un peu de puissance et pas d’eau offerte dans le frigo Petit dej très copieux Parking très cher mais c’est Paris…,10
741,Bon emplacement loin de le frénésie parisienne et proche des transports pour y la rejoindre ,6
742,Bonne halte pour avoir un lit mais pas plus Accueil déplorable demande des papiers didentité sans explication cest le protocole Chambre qui a besoin dun coup de neuf seul le matelas est confortable Housse de couette à la limite de la déchirure en  endroits Photos beaucoup plus alléchantes que la réalité pas de personnel au bar Nous sommes peut être venus un mauvais jour mais nous ne renouvellerons pas lexpérience,4
743,accueil très agréable personnel serviable et très poli Embellissements vieillots petite terrasse ombragée super agréable en plein Paris ,8
744,Un excellent séjour dans un quartier agréable et un hôtel dont nous avons beaucoup aimé la décoration l’amabilité de tout le personnel les petits déjeuners excellents et exceptionnels où j’ai trouvé du pain sans gluten  celui que je prends car je suis cœliaque  ,10
745,Ils ont réussit le concept du faire soit même  Faire son lit mettre sa table  Bref le self made made   face with tears of joy ,6
746,sejour dune nuit accueil tres agreable petit dejeuner somptueux,8
747,Endroit calme chambre correcte dommage manque grand miroir dans couloir et ceux existants mals éclairés dur pour rasage et maquillage pour mesdames ,8
748,Très très bien personnel très gentils et accueillant hôtel très propre et calme vraiment très sympa je recommande vivement merci beaucoup ,10
749,Chambre propre et confortable  Personnel agréable  Très bon séjour ,10
750,Hôtel propre idéalement situé dans Montmartres,8
751,L´hôtel Castiglione était overbooked mais ma dit que cétait un problème de logicielIl ma donc envoyé dans un autre hôtel et je les en remercie car cet hôtel était bien mieux Jétais très mécontente quil ne m´ait pas prévenue plus tot car je serais ainsi allée directement au nouvel hôtel La réception au Castiglione était mauvaise ils ne mont même pas accompagnée au taxi et il pleuvait des cordesbref plus jamais,4
752,Chambre spacieuse mais vieillotte  hôtel très bien situer,8
753,Grande chambre Très bonne literie  Petit dej moyen mais rapport qualité prix parfait donc petit dej parfait  ,10
754,Chambre spacieuse très claire et bien agencée Dommage les coussins sont de véritables galettes ,10
755,accueil et service vraiment très agréable petit déjeuner très copieux également,8
756,Was not happy with this place First when I arrive they tell me I’m in the th top floor which normally I would be happy about only the elevator only goes to the th floor so you have to take stairs I had a huge luggage Second the th and th floors were under construction so everything was covered in tarp and rooms were wide open under construction with a mess inside Close the floors if that’s the case I felt like I was in a murder show Lastly there was insane MOULD all over the shower in my room Assuming that’s why they’re renovating How can they put someone in that room,2
757,Hôtel vétuste au centre de Paris,6
758,Le chauffage dans l’établissement était beaucoup trop élevé L’absence de frigo dans les chambres est un point négatif surtout pour un séjour prolongé Les lits sont confortables le personnel courtois et à l’attention des besoins des visiteurs,8
759,Arrivée à lhôtel on ma informé que malgré la confirmation de réservation et son paiement il ny avait plus de placeJai été envoyé à lhitel den face qui cest vu se faire remplir par le Pax Opera quand on choisi une chambre et un hotel ce nest pas pour se trouver sur lhotel den face hotel de la havane nous sommes plusieurs clients à avoir subit le meme sort,2
760,Lhotel est bien situé   metro restau etc La chambre etait trop petite clim en panne salle de bain minuscule coin wc étriqué Point positif le matelat permet de passer une bonne nuit,6
761,Hôtel bien placé Chambre correcte,8
762,Hôtel très proche d’une station métro personnel très agréable et souriant Notre chambre était très propre l’idéal pour passer un séjour à Paris,8
763,Hotel agreable ambiance cosy Petit dejeuner varié et gourmet  Petites imperfections dans la chambre   la poignée de la fenêtre pas fixée tombe sur le sol et il manquait le cache de la télécommande  Personnel accueillant merci à Ines en particulier pour son accueil généreux et souriant ainsi qu a Falon et la demoiselle des petits déjeuners On se sent bien pendant le séjour thumbs up  tulip  winking face ,10
764,Première déception  il est mentionné que lhôtel a un parking mais cest un parking indépendant à proximité assez cher Laq chambre nest pas en très bon état papier peint qui se décolle mal posé à la base peinture écaillée au plafond moisissure dans la douche  pas top pour le prix Le seul point positif   le petit déjeuner ,6
765,Très bel hôtel  très bon petit déjeuner Relativement calme Literie très confortable Seul bémolle parking est payant en plus et éloigné ,10
766,Le fait que je doive courir après le personnel pour récupérer la caution prélevée à double et quaujourdhui la deuxième caution ne mait toujours pas été remboursée me semble incroyable sortie hier matin soit plus de h  Autrement le quartier est parfait,4
767,Très bien et très simple et accueil excellent,10
768,Malgré quelques petits désagrément à linstallation téléviseur en panne valise livrée en chambre mais ce nétait pas la mienne tout a été fait pour y remédier au plus vite et rendre mon séjour agréable Personnel accueillant et très serviable ,8
769,Belle chambre mais évacuation de la douche bouchée donc inondation de la salle de baindommage pour un  étoiles ,8
770,Accueil excellent Nous avons pu deposer nos sacs à la bagagerie le matin et nous promener librement dans Paris Je recommande et jy retournerai,10
771,Hotel tres bien situé mais vitrage mince  tres bruyant pour les chambres donnant sur la rue de Rivoli  Tres bien situé on peut tout faire a pied Place des Vosges et le Marais le Louvre jardins des Tuileries place Vendôme place de la Concorde Notre Dame Metro et bus a proximité de lhôtel ,8
772,Hotel extrement bien placé par contre tres vieillissant et demanderait d etre rénové   Pas tres bien isolé du bruit  on voit la lumiere du couloir a travers la porte   A mon sens rien de catastrophique a part le prix car a  euros pour une chambre comme ca c est un peu se moquer des gens ,6
773,J’ai réservé cet hôtel pour mes parents qui souhaitaient séjourner sur Paris  L’hôtel les a placé au  eme étage sans ascenseur  en panne lors de leur séjour  alors qu’ils sont âgés Ils ont du descendre et monter  étages tous les jours pour le petit déjeuner salle de petit déjeuner au  Il aurait été souhaitable que la direction accorde une remise  un geste commercial pour ce défaut  Je suis très surprise et déçue que rien n’a été fait pour pallier à ce manquant très important pour des personnes âgées   ,2
774,Rénové recemment cet hotel propose un confort de type Novotel  Bonne literie et propreté sans reproche Service aimable et attentionné ,8
775,Un hôtel bien situé près des commercesparking à proximité un peu cher forfait  h  euros même prix pour seulement  h de stationnement  Personnel compétent et agréable   Chambre impeccable avec tous les équipements Très belle salle de bain Mini bar et boissons chaudes offertes   Une belle adresse située dans le ème  à conserver ,10
776,Jai été très déçu dapprendre lorsque je me suis rendu au petit déjeuner que celui ci nest plus disponible en salle depuis plusieurs mois pour des raisons sanitaires  Une livraison en chambre dune formule simplifiée est néanmoins possible  Les conditions de prix et de services sont donc différentes de celles annoncées sur lapplication Hotelscom et sur le site de lhôtel En effet il est toujours mentionné  Petit déjeuner Buffet et il ny pas de mention concernant un aménagement  Ce changement ne ma pas été annoncé lors de mon arrivée et nest pas affiché dans lhôtel Démarrer la journée par un petit déjeuner buffet est mon grand péché de gourmandise et je dois lavouer mon choix dhôtel est conditionné par le type de petit déjeuner proposé Vous comprendrez donc mon désappointement Le personnel à été écoutant sans plus  Pas de geste commercial ou de boissons offertes pour atténuer ma déception Dommage lhôtel est plutôt bien situé et assez confortable dans cette gamme de prix,6
777,Equipe sympatique,8
778,Hotel parfaitement situé au cœur de Paris  Idéal pour visiter la ville à pied  Bémol pour le personnel totalement désorganisé spécialement pour le petit déjeuner et l’entretien journalier des chambres ,6
779,Localização perfeita serviço muito bom Vale a pena,10
780,Alles super ich kann nur empfehlen  smiling face with hearteyes  smiling face with hearteyes ,10
781,la chambre confortable mais pour un  étoiles il manque une bouillard un coffre des peignoirs,8
782,Séjour très agréableUn seul bémol   la dimension de la chambre assez réduite ,8
783,Hôtel bien placé chambre agréable simple mais bien et surface ok,10
784,Bon séjour Le personnel est très professionnel Bonne continuation à toute léquipe,8
785,De courte durée mais bien situé quartier animé et fort agréable,8
786,Belle chambre bien équipée Mais petit déjeuner franchement mauvais et hors de prix Dommage ,8
787,Hôtel bien situé et bien desservi par les transports en commun Accueil très chaleureux Lobby agréable avec jeux gratuits pour toute la famille Chambre spacieuse propre et fonctionnelle Environnement très calme Seule réserve   le restaurant attenant est cher mais il existe de nombreuses alternatives juste à coté et petit déjeuner un peu décevant Bilan plus que positif dans lensemble ,10
788,Weekend familial à  avec nos  enfants Chambre confortable par contre propreté à revoir Murs sales et pas de poubelle dans la sale de bain  coton sales et tasses du bar pas ramassés après la recouche  Le personnel du bar très sympathique mais pas du tout pro  ne sait pas ce qu’est un irish coffee et ne connaît pas les vins Nous gardons néanmoins un bon souvenir de notre séjour En fait on a l’impression qu’il n’y a pas de direction et que le personnel est livré à lui même  Où est le manager ,8
789,Concept très original  Très propre bien situé Rien à dire  Seul petit bémol   le drap qui recouvre la housse de matelas a été oublié mais rien de très grave ça peut arriver ,10
790,Petit Hôtel très bien situé avec restaurants et épicerie à distance de marche La chambre est petite mais très fonctionnelle et en bon état Salle de bain privée avec douche de bonne dimension Il y a une buanderie sur place Nous aurions bien apprécié avoir un minifrigo dans la chambre ,10
791,Très bien situé Personnel super sympathique,10
792,Superbe sejour accueil genial,10
793,Un très bon weekend dans cet hôtel très bien placé à Paris le service et l’accueil sont parfaits les chambres sont très propres et très confortables,10
794,Hôtel très bien placé Calme Confortable Personnel accueillant,10
795,Bien situé dans Paris  hôtel avec literie confortable chambre au calme Accueil très agréable et efficace Petit déjeuner très bon,10
796,Très bien à tous niveau la seul chose que je trouve vraiment dommage pour un hôtel étoilé c’est qu’il n’y a pas du café ni de thé à dispo comme peu le proposer dans un simple campanile  ,8
797,Petit hôtel très accueillant Excellente adresse ,10
798,,10
799,Excellent séjour propretés confort accueil   sur tout ,10
800,Séjour au top  Personne accueillant  chaleureux très professionnel honnête et efficace  L’emplacement avec accès direct aux Champs Élysées Le portefeuille égaré remis intact … Merci  nous avons passé un excellent séjour au Colisée Hôtel  Nous reviendrons ,10
801,Excellent hôtel ,10
802,Hôtel Colisée tjrs aussi bien  e séjour Excellent accueil très propre emplacement ideal ne pas hésiter  Hôtel Colisée excellent as usual th stay  excellent service best location very clean do not hesitate ,10
803,hôtel très bien situé près des Champs Elysées confortable et bien tenu,10
804,Très bon rapport qualitéprix pour cet hôtel situé à  pas des Champs Elysées et à m de la station Franklin D Roosevelt Chambres plutôt bien insonorisées Service irréprochable Proximité restaurants et bars,8
805,Très bon établissement je recommande vivement cet hôtel Un vrai hôtel  étoiles emplacement de lhôtel parfait propreté impeccable chambre et salle de bain rien à direbravo clapping hands  clapping hands  clapping hands  clapping hands ,10
806,Top  vraies étoiles,10
807,Chambre pas très grande mais cétait largement suffisant Lhôtel est très beau et la propreté est nickel ,10
808,Ils auraienr au moins pu m appeler avant d annuler ma reservation Je ne ferais pas bon echo de cet hotel,4
809,FANTASTIQUE vue sur la Tour Eiffel  belle Suite  Petit déjeuner très bien,10
810,L’hôtel est situé dans un quartier sale voir très sale mal fréquenté bruyant ou règne l’insécurité  à chaque coin de rue  Nous sommes allés voir « Élysée Nous » au théâtre des Deux Ânes ce soir là nous étions moins de quarante personnes dans la salle Le Moulin Rouge est dans un état pitoyable  les peintures sont fades sans éclat Je ne retournerai pas de sitôt dans ce quartier dû moins pour y séjourner… ,6
811,Je ne connaissais pas ce quartier trés vivant Au ème étage le bruit de la rue est faible Hotel bien placé Accueil pro et sympathique,10
812,Super bien place pour un petit week end ballade shopping et theatre,10
813,réservation non respectée  Nous avons été averti en arrivant à lhôtel  quaucune chambre nétait disponible  Lhôtelier a quand même pris le temps de nous en réserver une dans un autre hôtel  hôtel Bedford  rue des arcades au même tarif Nous aurions apprécié dêtre avertis au moins par téléphone   ,6
814,Hôtel très bien situé au niveau des grands magasins  Accès rapide depuis Montparnasse Accueil et personnel au top ,10
815,Hôtel très bien situé métro la Madeleine à  minutes Rue calme en travaux Personnel très sympathique Bon petit déjeune,10
816,Très bien ,8
817,Impossibilité d’annulation ni même de report la direction n’a rien compris au commerce  Hôtel très bruyant sonore je n’ai pas dormis de la nuit douche bouchée etc Hôtel à éviter ,4
818,Près de la Gare de l’Est et du quai SaintDenis était primordial pour nous Le petit déjeuner n’offre pas beaucoup de choix pour certain mais pour nous était amplement suffisant et offrait des produits frais et sains pour la santé Pas chers non plus,10
819,Overall clean spacious rooms and facilities We had a pleasant stay here We liked that they provided free bottles of water for us each day after cleaning the room ,8
820,Séjour formidable La literie extrêmement confortanle Le cadre sompteux Le personnel très sympatique et disponible Un vrai régal ,10
821,Top ,10
822,lhôtel design et bien situé est idéal pour un séjour parisien,10
823,Je deconseille fortement cet hotel pour  euros on peut trouver mieux avec moins de bruit isolation nulle on entend les gens parler dans la rue un accueil  zero entree par le cafe aucune info dans la chambre eclairage insuffisant on veille les morts  C est honteux quand on voit la qualité  dans les autres pays une fois pas deux ,2
824,Placement personnel petit déjeuner équipement dans la chambre,10
825,"accueil au top chambre prête à notre arrivée pourtant en avance petit the cafe a larrivée  chambre propre  petit déjeuner limite sans trop de choix",8
826,Sejour d’une nuit tres positif bon petit dejeuner super localisation,10
827,"Situé dans un quartier tres sympa Bel hotel avec petit dej de très  belle qualité et concept zénitude avec un accueil chaleur Seul bémol chambre donnant sur la rue  donc avec voitures altérant le confort de la chambre malgré une très bonne literie et offrant une belle vue sur le canal ",10
828,Cet hôtel est parfait Un personnel courtois et très professionnel Et sa situation géographique est géniale  Tout près du boulevard StMichel boutique et resto Je recommande cet hôtel et j’y revendrai à mon prochain séjour à Paris,10
829,Joli petit hotel boutique dans le quarter St Germain Très bien situé très calme aussi Service très acceuillant,10
830,Tout est parfait la situation les chambres le service etc,10
831,Très bel endroit magnifique mur végétal qui donne une ambiance très reposante Un bémol  un ascenseur tout petit pour tout l’hôtel mais rien de rédhibitoire  Nous reviendrons avec plaisir,8
832,ok,6
833,Très bien Chambre côté cour très calme Très propre et confortable  Petit déjeuner avec des produits de qualité beurre lait cru  Bon accueil,10
834,Bon séjour Prix élevé mais on pait l’emplacement en priorité Absence de la baignoire décrite dans le descriptif de la chambre,8
835,Attention  Accrochez vous   Nous avons soigneusement choisi un hôtel en fonction des critères et conditions d’accès à celui ci  Nous sommes tomber sur le plaza Élysée  Nous avons pris soin de lire les conditions d’accès à l’hôtel sur hôtelCom et sur leur site   Et tout est mentionner à l’exception d’une chose   La « caution » que l’hôtel préfère appeler « empreinte »   Après h de route nous arrivons et on nous annonce devoir régler € en plus par cb ou espèce  Je ne me suis pas opposé jai simplement demander « ou peux ton retrouver cet information de € de caution » je me suis fait soigneusement envoyer ch   J’aimerais rappeler à cet établissement que tout service ou prestations qui serai sujet à une somme d’argent doit obligatoirement être préciser chartre CGV CGU …or la  Aucune information d’indiquer en amont et on a osé me répondre « c’est partout pareil à paris » n’oublions pas que je suis touriste et non parisien  Mais bon    Dernier point que j’aie pris soin de signaler car en temps de COVID je trouve ça écœurant et irrespectueux   Le personnel de ménage semble faire le ménage « pied nu » oui oui  « Pied nu » j’ai constater cela dans une des chambre et quand il ce déplace dans les couloirs de moquette « pied nu »  Je n’en reviens pas du jamais vu  Quel explication à donner  Niveau hygiène nous sommes au top niveau   Enfin  Le personnel de ménage qui déplace des meuble à h c’est très moyen   Je n’y retournerai jamais ,2
836,Hôtel très confortable à deux pas des ChampsElysées,8
837,Personnel courtois ,10
838,Excellent rapport qualité prix,10
839,Nous revenons dans cet hôtel lors de chacun de nos séjours dans la capitale   jamais déçus personnel très à lécoute belles chambres,10
840,Points forts     emplacement proche de La place de la Bastille et des transports    vue dégagée    chambres spacieuses    bonne literie    propre  Points négatifs     odeur désagréable vieux dans la chambre    deco peu moderne    pas de douche baignoire    TV peu moderne ,6
841,la gentillesse du personnel,10
842,Très bon hotel  thumbs up ,10
843,Le lieu est bien placé de bons restaurants et la grande comédie aussi Dans ma chambre il faisait bon c’était silencieux et les rideaux occultants   impeccable ,8
844,Hôtel bien situé personnel super agréable Cependant il y a beaucoup beaucoup beaucoup trop de poussière Mon mari étant asthmatique et allergique à la poussière est sorti de l’hôtel au petit matin complètement malade Beaucoup trop de tissu voilage tapis etc  C’est dommage ,2
845,Personnel aimable et agréable Enregistrement sans difficulté Jolie petite chambre tout confort Le seul hic était le ménage  visiblement l’aspirateur n’a pas été passé dans notre salle de bains La baignoire était assez abîmée ce qui est dommage pour une telle prestation,8
846,Hotel avec problème d’hygiene Le service est tres mal fait dans les chambres  Apres la premiere nuit j’ai prévenu la reception et helas aucun resultat  A eviter,2
847,Personnel charmant et chambre confortable ,10
848,Manque de lumière près du lit manque de prises électriques pour les appareils électroniques de chaque côté du lit,10
849,seulement  nuits passees mais  mauvaises nuits    premiere nuit avec TV non fonctionnelle et pas d ampoules dans la douche  deuxieme nuit TV toujours non reparee  on me change de chambre mais dans celleci aucun chauffage ne fonctionnait ni dans la salle de bain ni dans la chambre Oblige de dormir avec un chauffage soufflant prete a la reception tres bruyant  Inacceptable aucun dedomagement propose,4
850,Nous sommes arrivés aux alentours de h à lhôtel Accueil cordial nous rentrons dans une chambre dont la climatisation était réglée à °C Nous la coupons immédiatement et il a fallu pas mal de temps pour que la température devienne confortable même avec les fenêtres ouvertes Nous suspendons les serviettes aux patères mais elles sont changées Le jour du départ nous descendons au petit déjeuner à h Portes fermées nous ouvrons les portes et la dame qui nous accueille nous confirme que ça démarre bien à h mais quelle est super en retard Pas dexcuse ni de mot de bienvenue en bref débrouillez vous Je vais me servir à la machine à café et une souris me passe entre les jambes Je le signale à la même personne qui me dit quelle a une phobie de ces merdes là Pas durgence à appeler quelquun pour soccuper du rongeur au point même quelle échange avec une autre personne en disant le client me dit quil a vu une souris tu crois que cest possible Enfin la climatisation est en fonctionnement dans le hall de lhôtel mais les portes automatiques sont ouvertes en permanence ce que nous avons signalé à laccueil Dommage car la chambre était belle grande et au calme un super lit ,6
851,Nicely designed hotel dome real problems though Air conditioning not working properly lights with big mistakes reading  lamp only working if all lamps are on in the room for instance… so bad issues with keys  Not in line with  stars and the pricing Should be a  star hotel,6
852,Bon petit déjeuner Bars et restaurants sur place agréables Bon emplacement dans Paris,8
853,un agréable séjour dans cet établissement un peu discret un accueil chaleuruex et des chambres spacieuses conforatbles et bien équipées Pour Paris cest calme et vaste Un restaurant en bas cest pratique et exotique Et la bonne surprise un bar caché pour les amateurs de Mezcal Bon séjour dans cet établissement que je recommande,10
854,Super accueil chambres en bon état et un bar caché dans lhôtel  Proche dune bouche de métro  un très bon moment dans cet hôtel ,10
855,L hôtel est correct mais le confort du sommeil est déplorable Bruit du métro  insonorisation intérieure inexistante Difficile de se reposer ,6
856,Première nuit chambre avec une odeur de caniveau quelque chose d’insupportable que j’ai du garder car arrivé tardive et hôtel plein  j’ai demandé qu’on me remplace la chambre pour la deuxième nuit de mon séjour ce qui a été fait sans discussion j’ai quand même eu l’impression que l’hôtel était au courant du problème mais des hôtels à ce niveau de prix avec un tel problème ne doivent pas avoir ce genre de problème ou au moins avoir la correction de dédommager le client mais malheureusement ce n’est pas en France qu’on sait se comporter de la sorte ici c’est un client de perdu  de retrouvé et on continue,6
857,Très bel hôtel un super accueil avec surclassement en prime,8
858,Personnel accueillant petit déjeuner excellent Chambre dhôtel un peu petite mais plutôt confortable petit bémol sur lisolation phonique des vitrages on a limpression dêtre dehors,8
859,Accueil sympathique Chambre un peu petite mais bien agencée et confortable  Petit déjeuné extra  ,8
860,hotel propre et bien situé mais chambre vraiment très petite,6
861,Hôtel de grande qualité et très calme Situation idéale pour découvrir les centres dintérêt ,10
862,Pour affaires  nuits Tres calme chambres spacieuses bien équipées tres confortables Petit déjeuner varié Une bonne adresse ,10
863,Très bon séjour hôtel très propre petit déjeuner très bon literie parfaite et confortable avec un personnel bienveillant et souriant ,10
864,Hôtel très calme  dans une jolie impasse Établissement à taille humaine ,10
865,Personnel gentil établissement propre Pas de petit déjeuner un er janvier Du café et du thé aux fruits rouge dans la chambre Du thé breakfast aurait été plus adapté Nous aurions aussi apprécié un oreiller supplémentaire dans le placard,8
866,Simple propre pratiqur,10
867,mon séjour pour raison professionnelle sest passé agréablement personnel disponible chambre propre et dans lensemble cest plutôt calme javais besoin de calme et de confort pour la nuit le jour je travaillais donc ça correspondait tout à fait à mes attentes De plus le quartier est central et sympa,8
868,très bien situé personnel au petit soin dommage pour un  étoiles que les chambres soient vieillotte avec des taches dhumidités sur le mur concernant le petit déjeunerpayer e par personnes et ne même pas avoir de fruits frais je trouve cela dommage ,6
869,Bon emplacement cest tout Chambre sale literie correcte une seule prise mal insonorisé Bruits de trains Pas débit deau douche impossible lavage cheveux,4
870,Hôtel rénové base d un vrai  etoiles Bien situé limitrophe gare St lazare Un peu cher malgré tout à € la chambre sans petit dej le ,8
871,Hôtel plein centre paris … bruyant bruit de ventilateur   métro et clients bruyants …salle de bain extrêmement petite ,6
872,Bonne emplacement pres du métro et restaurants ,10
873,Prestations très satisfaisantes Très bon accueil Chambre et sanitaires très propres Très bon rapport qualité prix ,10
874,Déco surprenante pas du tout conforme aux photos Matelas de mauvaise qualité chambre exigüe fenêtre donnant sur un mur gris ,6
875,Chambre étroite fuites deau wifi et télévision défectueux petit déjeuner insignifiant  plaintes dautres clients ,4
876,Jai utilisé la chambre  du lundi  au jeudi   Jai été dévoré par les punaises de lit à partir de mercredi  Je ne comprends pas pourquoi les punaises de lit qui sont un fléau mondial ne sont pratiquement jamais évoquées dans les commentaires Pourtant quand on échange avec les gens ils sen plaignent souvent Gros boutons et démangeaisons intenses pendant  jours  Si elles étaient systématiquement signalées les hôteliers seraient contraints dagir ,2
877,Je ne comprends pas que ce type de logement puisse être proposé à de tels prix c’est extrêmement cher et la qualité n’est absolument pas la  On a l’impression d’être dans une chambre étudiant de  Les rideaux les draps les murs n’ont pas été changés depuis  ans  € pour un lit  place    Lors de l’arrivée une belle flaque d’eau dans la salle de bains  Tout est fait à l’arrache ou mal fait peintures carrelage etc Des joints à moitié rideau de douche pas très hygiénique VMC et tuyaux pas nettoyés   Si cette chambre avait coûté € je n’aurais pas fait de remarque mais à € je trouve ça clairement volé je me demande comment ces établissements sont encore existants face à Airbnb et autre avec la pauvre qualité qu’ils fournissent  Je suis extrêmement déçu qu’il n’y ait pas un minimum de cohérence entre le prix et la qualité sur ce genre d’établissement par Hôtelscom ,4
878,Un personnel accueillant et réactif  Un hôtel cosy avec du charme  Chambre petite mais avec baignoire pour le cas des chambres Deluxe  Un plateau de bienvenu  théscafés   Minibar accessible sur demande  Zone géographique idéal  En définitive un excellent séjour  ,8
879,Malgrès la très bonne situation de lhotel  notre séjour a été plus que décevant Je nai pas lhabitude de donner mon opinion après un séjour mais au vu de lexpérience vécue je pense que ce message pourra éviter à dautres de vivre une telle expérience à Paris Tout d abord laccueil fut plus que glacial lemployée étant au téléphone il semblait que je la dérangeait en arrivant pas de welcome  même au Mc Donald jaurai eu droit à un meilleur accueil  et cétait NoelPeut etre quer les employés sauf la personne charmante de nuit avaient besoin de retrouver les leurs les problèmes techniques de lhotel au  eme étage semblaient surmonter lemployée Des nuisances sonores dues à des travaux à lhotel ainsi quune insuffisante insonorisation exterieure ont nuit à notre sommeil La déco était trés belle mais la propreté laissait à désirer  trace de saleté dans la salle de bains  pouvbelle non vidée dun mouchoir les essuis de bains propres mais tachetésporte voilée et tachetées chambre  à plus de  eur la nuit vous lavez compris il y a nettement mieux ou du moins avec un welcome et sourire inclus ,4
880,très pratique bien placé et personnel charmant,8
881,Ma réservation n a pas été enregistrée  Du coup j ai du changer d hotel à qui la faute ,4
882,"Hotel très pratique pour un salon professionnel proche au Carreau du Temple Personnel agréable Chambre un peu petite par contre difficulté pour ouvrir l’armoire Bon petit déjeuner Salle de bain très humide avec légère moisissure dans les angles",8
883,Accueil confort et service parfaits  Localisation centrale idéale Décoration et style au top Room service très pratique Cuisine délicieuse ,10
884,Un sejour tres agreable Le personnel aux petits soins Un service de restauratiln parfait,10
885,Magnifique hotel  ,10
886,Bonne situation Aménagement original  Restauration de qualité Problème de salle de bain signalé à la réception,8
887,Endroit stratégique bien agréable ,8
888,Le personnel de l’accueil est au top mais les chambres et les salles de bain sont catastrophiques et indignes d’un  étoiles Les photos des chambres présentes sur Google sont loin de refléter la réalité Les salles de bains sont sales vétustes et très mal entretenues Il n’y a aucune intimité entre les chambres simple cloison on entend tout Grosse moquette tachée vieux frigo HS papier peint abîmé double vitrage vétuste … bref un gros mensonge Seules les parties communes sont propres ,4
889,Superbe et confortable sauf  la climatisation un jour de canicule  Personnel compréhensif très aimable ,8
890,Splendide hôtel Le personnel est particulièrement gentil Les suites sont superbes et le nombre de détails de commodités parfait Très bon déjeuner Le service de taxi très appréciable également ,10
891,Bon hôtel dans le centre de Paris à côté de Châtelet et des bars ,8
892,Nous avons apprécié de pouvoir disposer de la chambre plus tôt que prévu ,8
893,Sejour en amoureux a Paris  hitel conforme aux annonces ,8
894,Séjour convenable quartier sympa mais chambre pas très bien insonorisée ,4
895,Sejour dune nuit P,8
896,Bon hôtel secteur Invalides Rapport qualitéprix au RV Accueil aimable et efficace Propre et confortable Bien placé pour un congrès à la maison de la chimie mn à pieds Je recommande ,8
897,Accueil chaleureux très professionnel  ,10
898,Hôtel peu entretenu… durant séjour changement de chambre ac en panne  ensuite chambre désuète et ascenseur non fonctionnel… chambre au e ,4
899,Beau petit hotel A côté de lécole militaire et cest tres jolie A  min de la tour en marchant Bcp doptions pour restaurant et terrasses Autobus et metro a  min de marche Jai vraiment aimé Il est bien situé zone tranquille ,10
