,rating,description
4,4/10 Correct,"1-Les cartes de l'hôtel ne fonctionnait pas toujours bien. Il fallait régulièrement aller voir l'accueil pour la réinitialiser.

2- On attend une plombe pour l'ascenseur, c'est agaçant quand on doit faire des aller retours pour voir l'accueil pour la carte de chambre qui ne marche pas.

3-problème de chauffage (trop chaud même à zero)"
5,10/10 Exceptionnel,
6,6/10 Bien,"Chambre parfaite pour une personne, propre, bien situé, mais TRÈS forte odeur humidité / moisissure dans la chambre. Impossibilité d'ouvrir la fenêtre donc rend malheureusement le séjour plus désagréable. "
7,8/10 Très bien,
8,10/10 Exceptionnel,
9,10/10 Exceptionnel,"Séjour en duo avec ma fille, hôtel fantastique, chambre, propreté, calme, accueil, petit déjeuner, espace, gentillesse de tout le personnel, rien ne manque à cet hôtel très bien situé. "
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,"Hôtel très bien placé..très calme.
Je reviendrais la prochaine fois "
3,8/10 Très bien,"Hotel et lounge sympa, mais chambre sale les 2 jours - poussiere partout, salle de bain mal nettoyee, vraiment dommage pour cet hotel bien situe"
4,2/10 Médiocre,
5,6/10 Bien,
6,10/10 Exceptionnel,"Outre un accueil très chaleureux, et une très grande gentillesse et disponibilité de la personne de l’accueil, l’hôtel de Sèvres est parfaitement situé. Les chambres sont très confortables et le coin boissons chaudes nous fait sentir comme à la maison.J’y retournerai avec plaisir."
7,10/10 Exceptionnel,
8,10/10 Exceptionnel,
9,10/10 Exceptionnel,Excellent rapport qualité prix. Hotel propre. En travaux de climatisation mais pas dérangeant ni bruyant pour nous qui sommes partis découvrir un Paris désert en août.  Personnel aux petits soins.  
0,10/10 Exceptionnel,
1,4/10 Correct,Bruyant ! en face des poubelles - et travaux
2,4/10 Correct,
3,10/10 Exceptionnel,
4,8/10 Très bien,
5,10/10 Exceptionnel,Équipe sympathique 
6,10/10 Exceptionnel,Chambre au 6eme étage. Plutôt calme et agréable bien que de petite taille.
7,10/10 Exceptionnel,Bien sympa. 
8,8/10 Très bien,"Hotel très agréable pour une nuit compte tenu de la dimension très réduite de la chambre. Propre, décoration agréable et belle attention de mettre des livres dans la chambre!"
9,10/10 Exceptionnel,
0,10/10 Exceptionnel,Tout et bien excellent 
1,8/10 Très bien,"Très bel hôtel , décoration magnifique, chambre et literie au top . Seul bémol , on avait une baignoire mais pas le bouchon pour pouvoir prendre un bain. "
2,10/10 Exceptionnel,Personnel super gentil. J’ai eu un upgrade sur ma chambre et j’ai pu récupérer la chambre plus tôt. Je recommande cet hôtel fortement. Super facile d’accès au métro 
3,10/10 Exceptionnel,"Situation idéale, personnel accueillant et disponible, chambre lumineuse et literie confortable. En bref, une belle confirmation d'un précédent séjour fortement apprécié."
4,10/10 Exceptionnel,"L’hôtel a dépassé de loin mes attentes! Très souvent les petits hôtels à Paris ont des petites chambres avec une apparence un peu vieille, mais celui-ci était tout le contraire! La chambre était spacieuse, très moderne, très propre, le lit et les oreillers très confortables, le petit déjeuner  était varié et la nourriture était très bonne. De plus, l’hôtel se situe à proximité d’une ligne de métro qui mène facilement et rapidements vers plusieurs attraits touristiques. Je n’aurais pas pu demander mieux! Je reviendrais sans hésiter! "
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,
8,10/10 Exceptionnel,
9,10/10 Exceptionnel,Personnel très attentif aux besoins de la cliente.
0,10/10 Exceptionnel,"Nous avions choisi cet hôtel pour sa proximité avec le théâtre où nous allions le soir. Très bon établissement .
Petit déjeuner excellent aussi mais un peu cher à 16€ par personne."
1,8/10 Très bien,
2,10/10 Exceptionnel,"Équipe géniale, location parfaite et calme. "
3,10/10 Exceptionnel,
4,6/10 Bien,
5,8/10 Très bien,
6,10/10 Exceptionnel,"Chambre très propre et très calme, petit-déjeuner très copieux "
7,10/10 Exceptionnel,
8,8/10 Très bien,
9,10/10 Exceptionnel,
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,
2,2/10 Médiocre,
3,2/10 Médiocre,
4,8/10 Très bien,"Hôtel propre, correct
Il correspondait tout à fait à ce que nous cherchions pour une nuit"
5,8/10 Très bien,
6,8/10 Très bien,
7,10/10 Exceptionnel,
8,2/10 Médiocre,"Hygiène lamentable pour un hôtel laissé à l'abandon. Impossible de trouver une solution de repli un jeudi soir à Paris, nous avons été contraints de dormir dans la chambre 106. Le calvaire le lendemain lorsque nous avons découvert que nos vêtements laissés sur le lit 1 place étaient infestées de punaises de lit."
9,8/10 Très bien,
0,6/10 Bien,
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,
3,6/10 Bien,
4,10/10 Exceptionnel,"Le personnel est très souriant,  sympathique et professionnel. les lits sont confortables et l'établissement calme."
5,4/10 Correct,
6,8/10 Très bien,
7,8/10 Très bien,Hôtel très agréable et bien situé 
8,8/10 Très bien,"Hotel calme et bien situé, j'ai bien dormis, c'est déjà ça.
Après la moquette et les rideaux sont vieillots, dommage, pas le grand luxe mais bon rapport qualité-prix...."
9,2/10 Médiocre,
0,8/10 Très bien,"tres bien situé, bon petit dejeuner, chambre cosi "
1,10/10 Exceptionnel,Hébergement simple et efficace. Bien placé par rapport à la gare d'Austerlitz.
2,10/10 Exceptionnel,"Très bon séjour 
Très bon hôtel 
Le personnel est très gentil, agréable et efficace. Merci à eux!"
3,10/10 Exceptionnel,"Personnel très agréable, boisson chaude offerte le soir jusqu'à minuit, petit déjeuner excellent"
4,10/10 Exceptionnel,
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,"Hôtel de quartier avec beaucoup de qualités : sympathie des personnels, propreté, petit dej varié et copieux, excellente localisation et au total, on va revenir!"
7,8/10 Très bien,交通便利，鄰近地鐵站，服務良好，價格便宜，但廁所非常小，熱水忽冷忽熱。
8,8/10 Très bien,"isolation à revoir
on attend les personnes de la chambre d'à coté prendre sa douche
l'ascenseur trop petit "
9,10/10 Exceptionnel,
0,10/10 Exceptionnel,Chambre très agréable. Un accueil de qualité avec le sourire et un petit déjeuner simple mais accessible au niveau du tarif
1,10/10 Exceptionnel,
2,6/10 Bien,"Très mauvais rapport qualité prix 
Chambre Sdb très petite 
Accueil sympa 
Proche métro "
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,tres bien
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,"Tres bien situé.
Bon petit dejeuner.
Personnel tres agréable 
Chambre et établissement propre"
8,10/10 Exceptionnel,"Rien à redire! Personnel adorable, hôtel moderne et propre.
Je reviendrai "
9,10/10 Exceptionnel,
0,4/10 Correct,"Chambre tres propre, jolie, confortable.
Par contre, un bruit agacant d'un chauffe eau dans la salle de bain qui m'a empêché de dormir toute la nuit.
Déçu de laccueil qui sest juste excuse lorsque jai expliqué la situation le matin en quittant.
Je frequente un hotel pour y dormir !!!
Jai paye plein pot pour ne pas dormir
"
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,
3,8/10 Très bien,
4,10/10 Exceptionnel,
5,10/10 Exceptionnel,
6,8/10 Très bien,La localisation 
7,8/10 Très bien,
8,10/10 Exceptionnel,Excellent comme d'habitude !
9,6/10 Bien,"Une nuit en transit sur Paris.
Chambre très petite pour 1 je n’imagine pas pour 2.
Très belle façade, mais chambre très petite pour un 4 étoiles."
0,4/10 Correct,
1,6/10 Bien,
2,4/10 Correct,
3,8/10 Très bien,L'hôtel est en rénovation et cela lui fera un grand bien. 
4,2/10 Médiocre,Not soundproof at all. You hear everything from the noise in the hallway to your neighbors in the room next door. Really hard to sleep in those conditions. 
5,10/10 Exceptionnel,
6,8/10 Très bien,
7,10/10 Exceptionnel,
8,6/10 Bien,
9,8/10 Très bien,"Très bon accueil. La nuit, la rue est particulièrement calme. Bien situé. Chambres confortables "
0,10/10 Exceptionnel,"Personnel très accueillant et agréable. Autant à la réception, qu'au petit déjeuner et que le personnel en charge de la propreté des chambres.
Petit déjeuner copieux et varié. 
Hôtel très bien situé pour sortir sur St. Germain. "
1,8/10 Très bien,emplacement ideal 
2,8/10 Très bien,
3,10/10 Exceptionnel,
4,6/10 Bien,Bien situé rue calme personnel sympathique la chambre aurait besoin de rafraîchissement les petits déjeuner était très bien lit très dure 
5,10/10 Exceptionnel,"Cet établissement classé 2 étoiles vaut largement un 3 etoiles 
Personnel professionnel et ce qui est rare à l'écoute et souriant 
Situation exceptionnelle 
Adresse précieuse sur Paris "
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,"Situation exceptionnelle 
Personnel professionnel et à l'écoute 
Ambiance sympathique 
Petit dejeuner buffet excellent 
Y passe un excellent sejour et y retourne prochainement "
8,10/10 Exceptionnel,"Un séjour très agréable, dans un hôtel à l’ancienne. Vue de la chambre sur une cour intérieur très calme. Propre. Personnel serviable. Je recommande."
9,8/10 Très bien,
0,10/10 Exceptionnel,階段でアクセスするお部屋でしたが、荷物も小さいスーツケースだけだったので、とくに問題はありませんでした。部屋はコンパクトですが十分スペースもあり、お風呂も大きめで快適でした。また湯沸かし器があったのもプラスでした。特筆すべきはレセプションのスタッフです。感激するくらいものすごく親切でした。また場所はサンジェルマンのど真ん中で、ショップやレストランも多く、歩いてどこにでも行けて、左岸のパリっぱい雰囲気がたっぷり味わえます。また滞在したいホテルになりました。
1,8/10 Très bien,
2,10/10 Exceptionnel,"Sejour parfait avec une chambre sous les toits au calme.et vue sur les toits de Paris et le clocher de Saint germain. 
Confort et service au top!"
3,8/10 Très bien,
4,10/10 Exceptionnel,Chambre très confortable et très belle salle de bain. Climatisation silencieuse et chaude en hiver. Accueil charmant. Idéalement situé dans Saint Germain des prés.
5,8/10 Très bien,
6,6/10 Bien,
7,6/10 Bien,
8,10/10 Exceptionnel,
9,10/10 Exceptionnel,
0,10/10 Exceptionnel,
1,4/10 Correct,Hotel qui ne vaut pas son prix
2,10/10 Exceptionnel,
3,10/10 Exceptionnel,Hôtel très confortable avec personnel très serviable. Petit déjeuner complet un peu cher mais différentes options sont possibles.
4,10/10 Exceptionnel,Hôtel très propre et très confortable. Extrême gentillesse de tout le personnel . 
5,10/10 Exceptionnel,Super bien placé au cœur de South Pigalle avec un resto top 
6,10/10 Exceptionnel,"Superbe séjour au sein de l’hôtel grand Pigalle, accueil super, personnel à l’écoute et magnifique chambre avec un grand balcon"
7,10/10 Exceptionnel,"Tout est parfait, super chambre sous les toits"
8,10/10 Exceptionnel,"Arrivée tardive avec un accueil agréable et bienveillant. La chambre est petite mais parfaitemebt agencé. 
Grande salle de bain, lit tres confortable et yne climatisation simple et efficace (soir de canicule...ouff!!!).
La rue est bruyante compte tenu du quartier mais c'est une nuit parisienne et nous en sommes ravis.
A bientôt. 
"
9,10/10 Exceptionnel,"Tout était parfait sauf le fait de devoir, au check-in, donner sa CB afin qu’elle soit copiée chiffre par chiffre. Ce n’est pas normal. "
0,8/10 Très bien,Chambre petite mais propre et très bonne literie. 
1,8/10 Très bien,"Très bel hôtel si je n’ai que deux remarques à faire, un chauffage beaucoup trop fort pour dormir… et un bruit incessant dans la rue vers 7h du matin avec une isolation qui laisse à désirer. Transport à proximité et de bons petits restaurants sont à côté. "
2,4/10 Correct,Cher pour ce que c'est et évidemment on montre une photo d'une belle chambre et on reçois une chambre qui à 2m20 de plafond avec 10°C de température en place que les 25°C de température extérieur. La seul fenêtre donne sur un canal d'aération intérieur où tout le monde dort fenêtre ouverte et on reçois pendant sa nuit la fumée de cigarette et les ronflements des autres.
3,8/10 Très bien,Une nuit à Paris pour profiter des musées et promenades du quartier. 
4,10/10 Exceptionnel,"Très bel hôtel, avec du charme et situé au calme.
Très bon emplacement dans Paris.
Chambre très bien, décorée avec goût
Literie un peu moyenne (si on aime un matelas ferme et uniforme)
Petit déjeuner beaucoup trop cher (12 Euros) pour le choix proposé. Si on a le temps, il vaut mieux aller le prendre à l'extérieur.
"
5,10/10 Exceptionnel,
6,6/10 Bien,"Séjour convenable. Personnel aimable et avenant mais beaucoup de défauts pour un hôtel 3 étoiles: 
- les chambres sont très petites
- salle de bain vétuste et très peu fonctionnelle (porte coulissante à moitié partie et donc remplacée par in rideau de douche).
- absence de climatisation ce qui est problématique durant l’été.
- ascenseur en panne durant la durée du séjour.

Le petit déjeuner était correct et le lit était comfortable. Rien à redire sur la propreté non plus. L’emplacement au cœur du marais est idéal et le quartier très calme. "
7,6/10 Bien,"Hôtel très bien placé au coeur du Marais, à côté du métro et de restaurants. Chambre donnant sur cour et au calme malgré l’animation du quartier. Cependant la propreté restait à revoir, ventilateur plein de poussière, joints de salle de bain moisis, peinture écaillée... Nous étions dans une chambre dans les hauts et une climatisation en plus n’aurait pas été de trop. "
8,8/10 Très bien,
9,10/10 Exceptionnel,Accueil extraordinairement chaleureux et bienveillant. L’hôtel est fraîchement refait et idéalement situé. Une adresse que je vais précieusement conserver pour un prochain séjour.
0,8/10 Très bien,
1,8/10 Très bien,"Excellent emplacement
Chambre trop petite mais bien aménagée sur le plan fonctionnel
Malheureusement pas d'aide pour le transport des valises à la chambre et inversement."
2,10/10 Exceptionnel,Chambre confortable et calme. Jolie décoration dans tout l'hôtel. Très bon accueil. Bon petit déjeuner complet. Métro à 5 minutes et supérette au coin de la rue. 
3,8/10 Très bien,"Séjour pour 2 jours. Je n’ai pas pu profité du spa donc pas d’avis sur ce point. Hôtel très bien situé, agréable, propre. Shopping et restaurant à proximité. Le petit déjeuner est complet avec du choix. Le personnel est souriant. Un patio central apaisant. Barman très professionnel, souriant et de très bons cocktails. 
2 bémols pour ma part 
Pour un 4 Étoile : pas de restauration réelle et un choix très limité non healthy. Des rillettes à base de saumon / thon / fromage. Il y a un spa bien-être plus massage à la carte. Je trouve cela dommage de ne pas avoir une restauration  et surtout quelque chose de sain, non gras et un vrai choix.

Le personnel ne se retient pas pour parler fort entre eux, que se soit concernant l’hôtel ou sur leur vie personnelle. Je suis pour le côté convivial mais pour être en perpétuel connexion avec des personnes à haut standing, il faut avoir une attitude, une façon de parler, faire attention à sa clientèle autour. Les soucis de l’hôtel ou autre blague entre collègues ne sont pas à être entendus par la clientèle sauf si ça nous concerne directement. Qu’une équipe s’entende bien, c’est très bien mais leur familiarité ne doit pas être aux yeux de tous. 
"
4,8/10 Très bien,
5,10/10 Exceptionnel, 
6,10/10 Exceptionnel,Très bel hotel pour Paris
7,10/10 Exceptionnel,Très bon service à l’accueil et en chambre 
8,8/10 Très bien,"séjour très agréable et hôtel très bien situé dans une rue au calme
par contre, pas d'accès à des chaines de la télé comme netflix
dommage pour un palace !"
9,10/10 Exceptionnel,
0,8/10 Très bien,
1,6/10 Bien,"Très bruyant le soir à cause des clubs de nuit à proximité. Les chambres non rénovées ont besoin de beaucoup d’attention qu’elles n’on pas eu.

Par contre, prix très raisonnable pour Paris. Lits très confortables et douche chaude et plaisante. La majorité du personnel est très accueillant (il y a eu deux exceptions). A quelques minutes de champs Elysées et de l’Arche de Triomphe."
2,8/10 Très bien,
3,2/10 Médiocre,
4,8/10 Très bien,
5,8/10 Très bien,"Accueil agréable, très jolie chambre au dernier étage avec poutres apparentes et baignoire ouverte sur la chambre. "
6,4/10 Correct,Nous sommes arrivées et à l’enregistrement la personne qui nous a accueilli n’a pas arrête de insister sur le fait de quitter la chambre à midi. Nous avons demandé à ne pas être déranger et que nous quitterions la chambre comme convenu à midi sauf qu’à 11h une femme de chambre est venue nous déranger.
7,6/10 Bien,Séjour correcte. Ménage à revoir !!
8,10/10 Exceptionnel,"Excellent hôtel , parking très près et pas cher pour Paris , grande chambre avec plateau courtoisie et des produits toilette, appréciable. Bon petit déjeuner continental. Personnel accueillant."
9,10/10 Exceptionnel,
0,10/10 Exceptionnel,"Très bon accueil ! Chambre chaleureuse, au calme. Hôtel très bien situé proche d'une station de métro. "
1,8/10 Très bien,
2,8/10 Très bien,
3,10/10 Exceptionnel,"Chambre très spacieuse, calme dans une rue touristique pourtant, ambiance romantique"
4,10/10 Exceptionnel,
5,8/10 Très bien,"Superbe emplacement au cœur de Saint Germain des Pres Accueil très chaleureux 
Déco et sanitaires vieillissants "
6,10/10 Exceptionnel,"Hôtel très agréable, bien situé ."
7,8/10 Très bien,
8,10/10 Exceptionnel,"Emplacement idéal
 Proche de Saint germain, Saint Sulpice, accès rive droite à 15 minutes à pied. 
Chambre petite mais belle deco toile de jouy noir et blanc aux murs, bouilloire ..
Accueil très agréable , tout bien !!"
9,8/10 Très bien,"Très bon accueil 
Quartier sympa "
0,8/10 Très bien,
1,10/10 Exceptionnel,
2,8/10 Très bien,"Hotel  charmant. Très bien situé. Chambre petite mais propre. Bon couchage.
"
3,8/10 Très bien,"Chambre propre et confortable. Petit déjeuner très bon, dans la verrière avec un superbe vue sur la cour.
Décoration de la chambre un peu chargée (tentures jusqu'au plafond)."
4,10/10 Exceptionnel,"Séjour d'une nuit (samedi soir). Très bel hôtel, accueil très chaleureux. La petite chambre pour une personne était totalement fidèle à la photographie et correspondait à mes goûts. L'hôtel dispose d'un grand jardin à l'arrière avec tables et salons où l'on peut se reposer et prendre un verre. Il dispose aussi très beau jardin d'hiver dans un velours vert tendre magnifique. Et l'emplacement est idéal. Voilà ! Je ne peux que le conseiller chaleureusement !"
5,10/10 Exceptionnel,
6,8/10 Très bien,
7,10/10 Exceptionnel,"hôtel très classe et sympathique, personnels aux petits soins ! à recommander !
Ludovic"
8,10/10 Exceptionnel,
9,10/10 Exceptionnel,
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,"Tres bon séjour dans cet hotel chaleureu, tres propre, bien situé. Service tres agréable. Chambre confortable. "
3,8/10 Très bien,
4,10/10 Exceptionnel,"Hôtel bien placé entre la Gare St Lazare et la Place de Clichy. Hôtel calme, belles prestations, état neuf. Personnel discret et sympathique. Le petit déjeuner est copieux avec un large choix de sucré ou salé.
Belle piscine au sous sol que je n’ai pas eu l’occasion de tester… dommage, peut-être une prochaine fois ."
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,"Super séjour, personnel très accueillant, sympathique, à l’écoute et attentionné.

Chambre très confortable et bien équipée.

Le spa est appréciable, propre, et reposant après une journée de marche, nous avons eu la chance de l’avoir deux heures pour nous seuls.

Seul bémol, le réseau ne passe pas très bien en chambre, et je ne sais pas s’il y a la clim ou si je n’ai pas réussi à la faire fonctionner."
7,10/10 Exceptionnel,
8,10/10 Exceptionnel,
9,4/10 Correct,J'ai été déçue de la chambre loué par rapport au prix payé et la chambre executive je m'attendais à mieux. En plus j'ai pris cet hôtel pout le spa et le hamman ne marchait pas et on a pas réussi à faire fonctionner le sauna
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,
3,8/10 Très bien,Trés bon séjour dans cet hotel confortable et trés bien situé près du métro. Petit jardin qui doit être fort agréable aux beaux jours. Petit déjeuner trés complet .
4,8/10 Très bien,
5,10/10 Exceptionnel,"Endroit calme. J'ai pris une chambre un peu plus grande et ai demandé à en avoir une au calme. J'ai été servis, au bout au dernier étage, le calme, parfait. Dû à la grève des contrôleur aérien, notre vol a été retardé d'une nuit. J'ai immédiatement contacté l'hotel pour leur mentionner que j'arriverais une journée en retard mais que j'honorais quand même les 3 nuits malgré que j'en utilise que deux. À ma grande surprise, le directeur de l'hotel me mentionne que c'est un 'no show' et que la réservation est sans modification ni annulation. Pourtant j'annule rien, ni ne modifie rien. J'arrive seulement une journée plus tard et je pais les 3. Considère un 'no show'. Très spécial car je me voyais a ce moment perdre 3 nuits et être obligé de réservé ailleurs un 2 nuits. Finalement après ''négociation'', le directeur me mentionne qu'il me fait une faveur et me permet d'arriver une journée en retard tout en payant 3 nuits. Bon, le gros bon sens s'est alors présenté. Malgré sa drôle de mentalité, je le remercie et ait passé malgré tout un très beaux séjours à cet hotel. Je recommande. Petit bémol: le déjeuner est limite sur le choix offert. Très basique."
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,"chambre très calme ,beaucoup d'activité très proche ,petit remarque le petit déjeuner servis dans un sous sol pas très accueillant.
 "
8,8/10 Très bien,"Hôtel très bien situé, chambre très calme, lits confortables.
A refaire avec les beaux jours pour profiter du jardin !"
9,8/10 Très bien,
0,6/10 Bien,"J'ai accepté la chambre 1 au Rdc, erreur de ma part. Le personnel qui prépare les petits déjeuner n'ont pas conscience des chambres à proximit, donc réveil garanti à 5h.puis les passants dans la rue sont vraiment très proche. J'adore cet hôtel, mais évitez le Rdc.

"
1,10/10 Exceptionnel,"My third stay in this small lovely hotel. Cleanest rooms, very nice renovation, nice staff, great location with plenty of restaurants and cafes around, at walking difference to most attractions."
2,10/10 Exceptionnel,
3,8/10 Très bien,
4,10/10 Exceptionnel,"Charmant petit hôtel au cœur de Paris. Personnel très aimable, chambré confortable "
5,8/10 Très bien,"Hôtel bien situé. Chambre propre et confortable. Petit-déjeuner de qualité
Par contre peu de réactivité pour la résolution d'incident (dans mon cas, mauvaise réception des chaînes sur le téléviseur)"
6,10/10 Exceptionnel,
7,8/10 Très bien,
8,8/10 Très bien,Hôtel très bien situé et agréable. Le parking en extérieur est un moins mais peu d  hôtels dans  ce secteur en ont…
9,10/10 Exceptionnel,
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,Superbe hôtel !
3,10/10 Exceptionnel,
4,8/10 Très bien,"Hôtel parfaitement rénové, bien situé à 200 m des Champs Elysées. Secteur Calme avec métro à 100 m."
5,8/10 Très bien,
6,10/10 Exceptionnel,"Acceuil tres agréable chambre propre, douche à  l'italienne tres sympa spacieuse"
7,10/10 Exceptionnel,Accueil  confort de la chambre 
8,8/10 Très bien,
9,10/10 Exceptionnel,
0,6/10 Bien,
1,6/10 Bien,
2,10/10 Exceptionnel,Tres bel accueil 
3,8/10 Très bien,"Arrivée tardive, accueil rapide et précis, et vite au lit !"
4,10/10 Exceptionnel,
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,
7,8/10 Très bien,
8,6/10 Bien,
9,8/10 Très bien,Très bon accueil propreté 
0,10/10 Exceptionnel,"Très bon accueil personnel compétent 
Chambre Très bien mais juste une poignée de fenêtre qui m 'est restée dans les mains sinon impeccable "
1,10/10 Exceptionnel,Près des théâtres et des grands magasins
2,10/10 Exceptionnel,
3,10/10 Exceptionnel,
4,8/10 Très bien,"Bien situé proche de l’Opera. Le prix en plein tarif est un peu élevé par rapport à d’autres hôtels du quartier pour ce niveau de prestations. Malgré une déco revue, l’hôtel conserve un côté un peu vieillot. Les chambres donnant sur le boulevard sont bruyantes. "
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,
7,10/10 Exceptionnel,
8,10/10 Exceptionnel,
9,10/10 Exceptionnel,
0,8/10 Très bien,
1,10/10 Exceptionnel,
2,6/10 Bien,"Le petit-dejeuner ne vaut pas 14 euros, c'est la même prestation que dans des hôtels 3 étoiles. Il y avait des tâches sur les draps. 
La décoration est très jolie et la chambre agréable. le personnel très gentil. L'hôtel est bien situé. "
3,8/10 Très bien,
4,10/10 Exceptionnel,
5,6/10 Bien,
6,8/10 Très bien,"Localisation parfaite à Pigalle. Bel hôtel, sympa avec chambres bien insonorisées, confortables et pratiques. La dame de l’accueil a été très serviable, gentille et sympathique à l’arrivée. Dommage que le monsieur à l’accueil de nuit m’a laissé plus de 15 mn à attendre a 2h du matin dans le froid sous la pluie car il ne répondait pas à la sonnerie de l’entrée, ni même au téléphone de l’accueil. "
7,10/10 Exceptionnel,
8,10/10 Exceptionnel,
9,2/10 Médiocre,
0,2/10 Médiocre,"Chambre minuscule, salle de bain inconfortable, impossible d accéder à la douche "
1,8/10 Très bien,
2,10/10 Exceptionnel,
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,Chambre rénovée et personnel aimable 
5,10/10 Exceptionnel,
6,10/10 Exceptionnel,Idéalement situé pour les amoureux du Louvre et du centre de Paris. 
7,8/10 Très bien,Hôtel hyper bien placé et agréable à vivre . Chambre un peu petite ( mais nous sommes à Paris ) . Accueil charmant de la part de tout le personnel.  
8,8/10 Très bien,"les + : Hôtel idéalement placé, bon accueil, chambre propre, bonne literie.
Les - : Chambre un peu petite, équipement minimum pour un 4*, insonorisation moyenne 

Je n'ai pas pris le PDJ "
9,8/10 Très bien,Hôtel douillet au charme un tantinet désuet. Accueil avec café et petits gâteaux exquis très appréciés! Très bien placé restaurants commerces musées et jardins...
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,"TRES AGREABLE SEJOUR.PARFAITEMENT SITUE DANS PARIS. TRES CONFORTABLE ET PERSONNEL TRES PROFESSIONNEL AVEC UNE MENTION SPECIAL POUR JOEL A LA RECEPTION QUI A ETE PARFAIT.
J Y RETOURNERAI AVEC PLAISIR ET CONFIANCE."
2,8/10 Très bien,
3,10/10 Exceptionnel,"Super hôtel à 2 pas de l'Olympia, très bon accueil, chambre et salle de bain au top"
4,10/10 Exceptionnel,
5,10/10 Exceptionnel,
6,8/10 Très bien,
7,10/10 Exceptionnel,"Très bel établissement , belle déco fashion , les chambres sont spacieuses et impeccables . 
Accueil Chaleureux . 
Bon petit déjeuner . 
Très bien situé "
8,10/10 Exceptionnel,
9,6/10 Bien,La chambre était vraiment petite le système de douche pas vraiment pratique 
0,10/10 Exceptionnel,
1,10/10 Exceptionnel,
2,10/10 Exceptionnel,
3,4/10 Correct,Hotel tres vetuste moquette murs placards salle de bain en etat de vieillissement honteux. Photos du site non conforme a la réalité.  Un petit 2 etoile vetuste
4,6/10 Bien,
5,8/10 Très bien,
6,4/10 Correct,"Hôtel qui a vraiment besoin d’être rénové et qui mériterait en attendant d’être plus propre et plus soigné (lumières couloirs qui clignotent; sacs de linge sales partout dans les escaliers à toute heure; ménage dans les chambres qui laissent à désirer)
Décevant vu le prix très élevé "
7,10/10 Exceptionnel,
8,8/10 Très bien,"hôtel bien placé, rapport qualité prix convenable.
le dessus de lit et la moquette sont cependant un peu repoussants. il y avait dans la chambre un cale porte fixé au sol en plein devant le toilette, lieu absurde. je me suis fait vraiment mal au pied plusieurs fois.
le personnel est agréable."
9,2/10 Médiocre,"hotel niveau très moyen. chambre sale, anciennement fumeur, odeur de tabac insuportable, douche bouchée.
"
0,10/10 Exceptionnel,"Chambre exceptionnelle, très spacieuse et design magnifique ! 

Point négatif : le petit-déjeuner - très décevant. Buffet très limité - viennoiseries surgelés. "
1,10/10 Exceptionnel,Hôtel magnifique! Personnel compétent et serviable. Une très bonne adresse sur Paris.
2,10/10 Exceptionnel,
3,10/10 Exceptionnel,
4,10/10 Exceptionnel,"9Confidentiel est un hôtel très agréable réalisé avec un soin du détail exemplaire. Le style donné par l’architecte Stark est réussi.
Le personnel est très charmant et sympathique: merci!"
5,10/10 Exceptionnel,
6,8/10 Très bien,"Idéalement situé, belle décoration.
La chambre club est très spacieuse.  "
7,8/10 Très bien,"Bel hôtel très bien situé pour les amoureux du marais malheureusement le premier soir il manquait les petites serviettes de toilette et le lendemain le café et le thé dans la chambre n'avaient pas été réapprovisionnés
Suite à notre demande ils nous ont été portés mais facturés "
8,10/10 Exceptionnel,Tres bien... excellente prestation
9,10/10 Exceptionnel,
0,10/10 Exceptionnel,
1,8/10 Très bien,Petit séjour de trois jours à Paris entre mère et fille.
2,8/10 Très bien,
3,10/10 Exceptionnel,"Taille de la chambre et de la sdb.
Gentillesse du personnel
Propreté 

Une petite réserve sur le petit déjeuner :buffet mal placé et peu accessible, bancs de bois de la sàm qui mériteraient des coussins, Thermos d’eau chaude pour le thé beaucoup trop petit et pas réussi à trouver un grille pain"
4,8/10 Très bien,Séjour correct et agréable. Assez grande chambre et lit confortable. Salle de bain pratique.
5,8/10 Très bien,
6,8/10 Très bien,
7,8/10 Très bien,"Personnel très accueillant et très professionnel. La chambre est calme malgré le fait qu'on soit en plein centre ville. L'hôtel est proche des commerces, des restaurants et des transports en commun. 
"
8,10/10 Exceptionnel,
9,10/10 Exceptionnel,
